CODGEO,LIBGEO,AGEMEN700_TDM8100,AGEMEN700_TDM8200,AGEMEN700_TDM8310,AGEMEN700_TDM8300,AGEMEN700_TDM8410,AGEMEN700_TDM8420,AGEMEN700_TDM8500,AGEMEN720_TDM8100,AGEMEN720_TDM8200,AGEMEN720_TDM8310,AGEMEN720_TDM8300,AGEMEN720_TDM8410,AGEMEN720_TDM8420,AGEMEN720_TDM8500,AGEMEN725_TDM8100,AGEMEN725_TDM8200,AGEMEN725_TDM8310,AGEMEN725_TDM8300,AGEMEN725_TDM8410,AGEMEN725_TDM8420,AGEMEN725_TDM8500,AGEMEN740_TDM8100,AGEMEN740_TDM8200,AGEMEN740_TDM8310,AGEMEN740_TDM8300,AGEMEN740_TDM8410,AGEMEN740_TDM8420,AGEMEN740_TDM8500,AGEMEN755_TDM8100,AGEMEN755_TDM8200,AGEMEN755_TDM8310,AGEMEN755_TDM8300,AGEMEN755_TDM8410,AGEMEN755_TDM8420,AGEMEN755_TDM8500,AGEMEN765_TDM8100,AGEMEN765_TDM8200,AGEMEN765_TDM8310,AGEMEN765_TDM8300,AGEMEN765_TDM8410,AGEMEN765_TDM8420,AGEMEN765_TDM8500,AGEMEN780_TDM8100,AGEMEN780_TDM8200,AGEMEN780_TDM8310,AGEMEN780_TDM8300,AGEMEN780_TDM8410,AGEMEN780_TDM8420,AGEMEN780_TDM8500
38169,Fontaine,73,0,0,0,5,7,10,271,113,12,0,6,19,39,965,395,668,45,58,199,96,825,188,965,141,161,463,53,807,562,381,20,47,126,30,1010,776,72,6,6,26,34,709,370,34,9,3,26,12
38170,Fontanil-Cornillon,0,0,0,0,0,0,0,11,15,0,0,0,0,5,79,56,149,5,0,36,0,106,41,139,24,15,30,0,106,123,59,0,0,15,0,111,158,15,0,0,10,5,90,72,10,0,0,5,0
38179,Gières,192,0,0,0,0,0,15,436,52,0,0,5,5,26,228,196,226,21,5,98,21,285,88,339,26,46,160,15,218,145,82,5,21,41,10,213,176,31,0,0,0,0,156,103,10,0,0,5,10
38185,Grenoble,3109,123,1,0,13,11,451,8117,1171,65,6,101,99,2014,11504,5175,3619,257,361,1424,1574,6308,1441,5507,676,757,2487,187,5178,2171,1524,153,237,712,137,7016,3309,331,31,47,134,75,4607,1607,55,8,32,160,61
38187,Le Gua,5,0,0,0,0,0,0,0,0,0,0,0,5,0,10,34,75,10,5,10,5,53,5,110,25,15,15,0,73,34,20,0,10,0,0,48,132,20,0,5,0,0,29,44,0,0,0,0,0
38188,Herbeys,0,0,0,0,0,0,0,5,5,0,0,0,0,0,5,5,61,5,0,5,0,16,11,81,5,10,20,10,33,32,15,0,0,0,0,60,143,0,5,0,0,0,22,37,0,0,0,0,0
38200,Jarrie,0,0,0,0,0,0,0,5,10,0,0,5,0,0,80,47,173,10,16,26,5,90,52,228,25,41,26,5,101,178,67,5,5,0,0,117,225,15,0,0,0,0,48,42,0,0,0,5,5
38229,Meylan,44,0,0,0,8,0,10,155,28,0,0,6,6,9,505,327,439,29,30,141,37,522,165,1005,102,116,369,12,661,519,280,22,29,73,14,939,978,69,13,6,7,18,766,440,11,0,10,11,1
38235,Miribel-Lanchâtre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,10,0,0,5,0,16,0,67,0,0,5,0,11,5,0,0,0,0,0,5,16,0,0,0,0,0,0,5,0,0,0,0,0
38252,Montchaboud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,5,9,0,0,5,0,10,10,10,9,0,0,0,24,29,0,0,0,0,0,5,14,0,0,0,0,0
38258,Mont-Saint-Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,0,0,0,4,4,0,0,0,0,0
38271,Murianette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,19,0,5,5,0,29,16,64,0,0,15,0,23,38,25,5,5,0,0,12,49,0,0,0,0,0,17,11,0,0,0,5,0
38277,Notre-Dame-de-Commiers,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,21,0,5,0,5,5,5,47,5,0,10,0,9,20,0,0,0,5,0,14,29,0,0,0,0,0,5,0,0,0,0,0,0
38279,Notre-Dame-de-Mésage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,5,0,0,0,5,25,72,4,5,15,5,36,45,19,0,5,0,5,52,90,0,0,5,0,5,21,20,10,0,0,0,0
38281,Noyarey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,15,97,5,10,20,5,30,25,145,10,15,24,0,74,64,39,0,20,10,5,40,123,10,5,0,0,0,59,39,5,0,0,5,0
38309,Poisat,5,0,0,0,0,0,0,26,0,0,0,0,0,0,10,31,54,0,0,0,0,26,20,122,5,15,10,0,105,82,40,0,0,0,5,105,159,10,0,0,0,0,26,67,10,0,0,5,5
38317,Le Pont-de-Claix,4,0,0,0,2,6,0,80,45,12,0,9,26,5,287,154,348,45,39,139,29,348,94,459,77,70,213,37,318,263,220,20,18,69,9,396,323,25,3,4,4,5,328,152,8,0,0,9,12
38325,Proveysieux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,5,5,40,5,5,0,0,10,20,5,0,0,0,0,20,40,0,0,0,0,0,20,15,0,0,0,0,0
38328,Quaix-en-Chartreuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,0,5,0,0,14,14,74,5,5,9,0,14,28,9,0,0,5,5,33,47,5,0,0,5,0,14,9,9,0,0,0,0
38364,Saint-Barthélemy-de-Séchilienne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,0,0,0,0,0,14,29,5,5,5,0,10,10,5,0,0,5,0,14,14,0,0,0,0,0,14,5,0,0,0,0,0
